"Date","SKU_ID","SKU_Name","SKU_Category","City","dark_store","qty_sold","Sale_MRP","avg_qty_sold_last_7_days","drr_14","dark_store_inv_qty","days_of_inventory_14","month_to_date_sales"
2025-01-09,bbd58c16-8e94-44d0-b1b9-90a584cf3379,The Good Bug Bye Bye Bloat Supplement Powder - Ease Digestive Discomfort Naturally 30.0 GRAM,Pharma & Wellness,Bengaluru,BLR-RICHMOND TOWN,364.0,NaN,1.0,1.0,364.0,364.0,58968.0
2025-01-19,bbd58c16-8e94-44d0-b1b9-90a584cf3379,The Good Bug Bye Bye Bloat Supplement Powder - Ease Digestive Discomfort Naturally 30.0 GRAM,Pharma & Wellness,Bengaluru,BLR-YESHWANTPUR,364.0,NaN,1.0,1.0,364.0,364.0,58968.0
2025-01-17,"0158caf9-fc39-4204-b53c-4ee08fefef41",The Good Bug Gut Cleanse Health Supplement - Improves Digestion & Gut Health 70.0 MILLILITRE,Pharma & Wellness,Hyderabad,HYD-Singapore Town Ship,261.0,NaN,1.0,1.0,0.0,0.0,90306.0
2025-01-12,bbd58c16-8e94-44d0-b1b9-90a584cf3379,The Good Bug Bye Bye Bloat Supplement Powder - Ease Digestive Discomfort Naturally 30.0 GRAM,Pharma & Wellness,Mumbai,MUM-Vashi Network,364.0,NaN,1.0,1.0,364.0,364.0,58968.0
2025-01-11,"0158caf9-fc39-4204-b53c-4ee08fefef41",The Good Bug Gut Cleanse Health Supplement - Improves Digestion & Gut Health 70.0 MILLILITRE,Pharma & Wellness,Mumbai,MUM-POWAI NETWORK,522.0,NaN,1.9885057471264367,1.975095785440613,1566.0,792.8729388942774,90306.0
2025-01-15,f6e64c19-b02c-42ec-98b9-837c169f1ae6,The Good Bug Gut Balance Supplement Powder - Strong Digestion & Immunity 15.0 GRAM,Pharma & Wellness,Hyderabad,HYD-BACHUPALLY,387.0,NaN,1.0,1.0,774.0,774.0,73143.0
2025-01-05,"0158caf9-fc39-4204-b53c-4ee08fefef41",The Good Bug Gut Cleanse Health Supplement - Improves Digestion & Gut Health 70.0 MILLILITRE,Pharma & Wellness,Hyderabad,HYD-SECUNDERABAD,261.0,NaN,1.0,1.0,0.0,0.0,90306.0
2025-01-20,e01a80d4-f251-4684-8a53-76ea939b7d50,The Good Bug Metabolically Lean Supplement Powder - Weight Management 30.0 GRAM,Pharma & Wellness,Bengaluru,Sarjapur,336.0,NaN,1.0,1.0,0.0,0.0,26208.0
2025-01-11,f6e64c19-b02c-42ec-98b9-837c169f1ae6,The Good Bug Gut Balance Supplement Powder - Strong Digestion & Immunity 15.0 GRAM,Pharma & Wellness,Mumbai,MUM-Vile parle,387.0,NaN,1.0,1.0,0.0,0.0,73143.0
2025-01-09,"0158caf9-fc39-4204-b53c-4ee08fefef41",The Good Bug Gut Cleanse Health Supplement - Improves Digestion & Gut Health 70.0 MILLILITRE,Pharma & Wellness,Bengaluru,BLR-HSR Layout New,261.0,NaN,1.0,1.0,522.0,522.0,90306.0
2025-01-01,"0158caf9-fc39-4204-b53c-4ee08fefef41",The Good Bug Gut Cleanse Health Supplement - Improves Digestion & Gut Health 70.0 MILLILITRE,Pharma & Wellness,Hyderabad,HYD-Manikonda Network,261.0,NaN,1.0,1.0,0.0,0.0,90306.0
2025-01-14,f6e64c19-b02c-42ec-98b9-837c169f1ae6,The Good Bug Gut Balance Supplement Powder - Strong Digestion & Immunity 15.0 GRAM,Pharma & Wellness,Bengaluru,BLR-HSR-2,387.0,NaN,1.0,1.0,387.0,387.0,73143.0
